dates;lai_515;cab_515;cbrown_515;lai_542;cab_542;cbrown_542;lai_508;cab_508;cbrown_508;lai_319;cab_319;cbrown_319;lai_301;cab_301;cbrown_301
2017-03-01;0.7755161;45.63252;0.11272822;0.3638322;31.443819;0.541583;0.3607581;45.699696;0.53412455;0.18580285;39.904724;0.28809118;0.40731135;46.743168;0.34400037
2017-03-06;0.80247927;45.36498;0.1045146;0.36786532;31.521717;0.5322112;0.3786069;45.836723;0.47311592;0.18708842;40.08648;0.2766325;0.41954756;46.719135;0.32575396
2017-03-11;0.85386086;44.847942;0.108546056;0.37631997;31.68675;0.51503414;0.41465667;46.10707;0.42902258;0.19037329;40.45224;0.27168882;0.44507155;46.685493;0.30854368
2017-03-16;0.92473125;44.117207;0.117818914;0.3900147;31.956985;0.49198908;0.47076038;46.504837;0.38208047;0.19509171;41.004692;0.28651568;0.4858525;46.669743;0.2904612
2017-03-21;1.008108;43.225533;0.129394;0.41026434;32.358353;0.4645444;0.5484248;47.024513;0.33845496;0.2016037;41.743855;0.29965082;0.5445086;46.709633;0.2720536
2017-03-26;1.0954773;42.241024;0.14303887;0.43893957;32.92264;0.43363887;0.64989376;47.663296;0.29999626;0.20963329;42.66364;0.32271978;0.6239112;46.848675;0.25358468
2017-03-31;1.1775095;41.244278;0.1589466;0.4784784;33.684174;0.4000662;0.77762043;48.422127;0.26748273;0.21910806;43.749027;0.3500915;0.7266759;47.13018;0.2353377
2017-04-05;1.2449476;40.324192;0.17765115;0.5318071;34.67502;0.36495692;0.9339209;49.304478;0.24085361;0.22995791;44.97497;0.38197637;0.85457253;47.59007;0.21788262
2017-04-10;1.290018;39.57238;0.20005384;0.60213614;35.918972;0.3299576;1.1205022;50.31254;0.21963759;0.2421428;46.30741;0.4169615;1.0079068;48.249355;0.20197089
2017-04-15;1.3058321;39.07659;0.22714558;0.6926116;37.424965;0.29691413;1.3378867;51.44136;0.20318618;0.25569722;47.706543;0.45434296;1.1849493;49.10757;0.18825945
2017-04-20;1.2896945;38.913845;0.26001745;0.8058318;39.181133;0.26736125;1.5847878;52.672256;0.19080001;0.27079093;49.13173;0.49308026;1.3814981;50.138554;0.17713259
2017-04-25;1.2421763;39.143997;0.29990685;0.943267;41.150864;0.2422088;1.857525;53.967236;0.18181472;0.2878009;50.54715;0.53099;1.590672;51.289944;0.16870043
2017-04-30;1.1677728;39.804573;0.35169497;1.1046537;43.27226;0.22173691;2.1495779;55.266525;0.17565927;0.3073835;51.926903;0.5643663;1.8030124;52.487278;0.16289854
2017-05-05;1.07471;40.9076;0.407477;1.2874603;45.46202;0.20578477;2.4513965;56.49068;0.17188509;0.33053014;53.258614;0.58990246;2.0069458;53.64265;0.15959902
2017-05-10;0.97396773;42.438747;0.43021387;1.486535;47.62394;0.1939729;2.7505527;57.548096;0.1701713;0.35858703;54.544495;0.6051699;2.18961;54.667145;0.15869148
2017-05-15;0.87940127;44.358868;0.4692762;1.6940374;49.661354;0.18587013;3.032298;58.347282;0.17031679;0.3932184;55.79981;0.6084603;2.3379865;55.48506;0.16013213
2017-05-20;0.80439776;46.60759;0.5070676;1.899734;51.491734;0.18109187;3.280529;58.812263;0.17222816;0.43629977;57.048775;0.5994542;2.4402266;56.047478;0.16397327
2017-05-25;0.7616576;49.108475;0.53443974;2.091681;53.060787;0.1793483;3.4791005;58.89825;0.1759097;0.48973548;58.31877;0.579305;2.4870088;56.34252;0.1703851
2017-05-30;0.7613913;51.77494;0.5395395;2.2572656;54.353134;0.18046394;3.6133633;58.604187;0.18145816;0.5552103;59.633907;0.55034244;2.4727361;56.399986;0.17967917
2017-06-04;0.8101343;54.516376;0.51359606;2.3844972;55.39677;0.18438329;3.6717474;57.979088;0.18906447;0.6338981;61.008938;0.51578945;2.3963902;56.288868;0.19233973
2017-06-09;0.91000265;57.24376;0.46036118;2.4633973;56.259525;0.19117191;3.6471863;57.11977;0.19902286;0.7261648;62.44469;0.47887978;2.261891;56.107773;0.20906764
2017-06-14;1.0584781;59.874325;0.39462155;2.4872782;57.037136;0.20101699;3.5381699;56.15943;0.21174873;0.83131033;63.925518;0.44222805;2.077874;55.969357;0.23083907
