#;301;301;301;301;301;301;301;301;301;301;301;301;508;508;508;508;508;508;508;508;508;508;508;508;542;542;542;542;542;542;542;542;542;542;542;542;319;319;319;319;319;319;319;319;319;319;319;319;515;515;515;515;515;515;515;515;515;515;515;515
;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv
0;2017-03-24 05:17:15;0.0804;0.0119;44.7015;95;DESCENDING;S2B;0.6419;0.2263;11.0174;0.2939;0.1486;2017-03-24 05:17:15;0.1078;0.0116;44.7015;95;DESCENDING;S2B;0.5529;0.2084;12.4027;0.2338;0.1077;2017-03-24 05:17:15;0.0762;0.0096;44.7015;95;DESCENDING;S2B;0.4054;0.2668;8.7535;0.0282;0.1265;2017-03-24 05:17:15;0.0375;0.0086;44.7015;95;DESCENDING;S2B;;;;;0.2278;2017-03-24 05:17:15;0.0468;0.0097;44.7015;95;DESCENDING;S2B;;;;;0.2077
1;2017-03-25 17:06:21;0.0857;0.0160;42.4836;117;ASCENDING;S2B;0.8056;0.2227;11.1423;0.3124;0.1868;2017-03-25 17:06:21;0.0677;0.0143;42.4836;117;ASCENDING;S2B;0.6689;0.2016;12.9028;0.3106;0.2108;2017-03-25 17:06:21;0.1161;0.0078;42.4836;117;ASCENDING;S2B;0.4871;0.2522;9.3785;0.1265;0.0674;2017-03-25 17:06:21;0.0895;0.0124;42.4836;117;ASCENDING;S2B;;;;;0.1390;2017-03-25 17:06:21;0.0577;0.0113;42.4836;117;ASCENDING;S2B;;;;;0.1956
2;2017-03-26 16:58:53;0.0862;0.0138;33.3043;44;ASCENDING;S1A;0.9102;0.2179;11.2222;0.3242;0.1604;2017-03-26 16:58:53;0.1388;0.0200;33.3043;44;ASCENDING;S1A;0.7429;0.2006;13.2222;0.3597;0.1443;2017-03-26 16:58:53;0.1429;0.0090;33.3043;44;ASCENDING;S1A;0.5394;0.2489;9.7778;0.1894;0.0630;2017-03-26 16:58:53;0.0993;0.0209;33.3043;44;ASCENDING;S1A;;;;;0.2108;2017-03-26 16:58:53;0.0844;0.0147;33.3043;44;ASCENDING;S1A;;;;;0.1741
3;2017-03-29 05:25:29;0.0984;0.0200;35.9956;168;DESCENDING;S2B;1.1552;0.2050;13.6493;0.4125;0.2032;2017-03-29 05:25:29;0.0782;0.0162;35.9956;168;DESCENDING;S2B;0.9478;0.2005;15.1771;0.4438;0.2076;2017-03-29 05:25:29;0.0667;0.0072;35.9956;168;DESCENDING;S2B;0.6172;0.2432;10.7864;0.2664;0.1082;2017-03-29 05:25:29;0.1119;0.0135;35.9956;168;DESCENDING;S2B;;;;;0.1210;2017-03-29 05:25:29;0.0733;0.0163;35.9956;168;DESCENDING;S2B;;;;;0.2226
4;2017-03-30 05:18:04;0.0597;0.0160;44.6988;95;DESCENDING;S1A;1.2375;0.2010;15.5660;0.4719;0.2678;2017-03-30 05:18:04;0.0565;0.0120;44.6988;95;DESCENDING;S1A;1.0321;0.2009;16.4271;0.4569;0.2124;2017-03-30 05:18:04;0.0501;0.0044;44.6988;95;DESCENDING;S1A;0.6214;0.2397;11.1614;0.2578;0.0873;2017-03-30 05:18:04;0.0688;0.0148;44.6988;95;DESCENDING;S1A;;;;;0.2156;2017-03-30 05:18:04;0.0367;0.0099;44.6988;95;DESCENDING;S1A;;;;;0.2711
5;2017-03-31 17:07:04;0.1165;0.0237;42.4865;117;ASCENDING;S1A;1.3610;0.1983;18.4410;0.5612;0.2037;2017-03-31 17:07:04;0.0625;0.0152;42.4865;117;ASCENDING;S1A;1.1585;0.1980;18.3021;0.4766;0.2429;2017-03-31 17:07:04;0.0635;0.0054;42.4865;117;ASCENDING;S1A;0.6277;0.2304;11.7239;0.2448;0.0857;2017-03-31 17:07:04;0.1331;0.0301;42.4865;117;ASCENDING;S1A;;;;;0.2262;2017-03-31 17:07:04;0.0636;0.0132;42.4865;117;ASCENDING;S1A;;;;;0.2077
6;2017-04-01 16:58:06;0.0960;0.0178;33.3110;44;ASCENDING;S2B;1.4399;0.1908;20.2778;0.6181;0.1856;2017-04-01 16:58:06;0.0987;0.0155;33.3110;44;ASCENDING;S2B;1.2393;0.1978;19.5000;0.4891;0.1565;2017-04-01 16:58:06;0.1296;0.0097;33.3110;44;ASCENDING;S2B;0.6317;0.2267;12.0833;0.2366;0.0749;2017-04-01 16:58:06;0.1641;0.0235;33.3110;44;ASCENDING;S2B;;;;;0.1430;2017-04-01 16:58:06;0.0770;0.0167;33.3110;44;ASCENDING;S2B;;;;;0.2165
7;2017-04-04 05:26:13;0.1149;0.0192;36.0023;168;DESCENDING;S1A;1.6492;0.1914;25.1493;0.7693;0.1673;2017-04-04 05:26:13;0.0864;0.0090;36.0023;168;DESCENDING;S1A;1.4535;0.2069;22.6771;0.5224;0.1037;2017-04-04 05:26:13;0.1068;0.0124;36.0023;168;DESCENDING;S1A;0.6424;0.2294;13.0364;0.2146;0.1158;2017-04-04 05:26:13;0.1161;0.0105;36.0023;168;DESCENDING;S1A;;;;;0.0901;2017-04-04 05:26:13;0.0609;0.0152;36.0023;168;DESCENDING;S1A;;;;;0.2503
8;2017-04-05 05:17:15;0.0872;0.0216;44.7018;95;DESCENDING;S2B;1.7441;0.1900;26.7084;0.8255;0.2471;2017-04-05 05:17:15;0.0606;0.0102;44.7018;95;DESCENDING;S2B;1.5537;0.2086;23.7223;0.5429;0.1689;2017-04-05 05:17:15;0.0713;0.0102;44.7018;95;DESCENDING;S2B;0.6477;0.2260;13.4166;0.2006;0.1431;2017-04-05 05:17:15;0.0719;0.0071;44.7018;95;DESCENDING;S2B;;;;;0.0983;2017-04-05 05:17:15;0.0566;0.0149;44.7018;95;DESCENDING;S2B;;;;;0.2631
9;2017-04-06 17:06:22;0.0795;0.0196;42.4903;117;ASCENDING;S2B;1.9579;0.1796;27.0084;0.8911;0.2463;2017-04-06 17:06:22;0.0464;0.0100;42.4903;117;ASCENDING;S2B;1.7947;0.2052;24.1222;0.6153;0.2159;2017-04-06 17:06:22;0.0535;0.0073;42.4903;117;ASCENDING;S2B;0.6621;0.2242;14.0166;0.1491;0.1354;2017-04-06 17:06:22;0.1423;0.0156;42.4903;117;ASCENDING;S2B;;;;;0.1099;2017-04-06 17:06:22;0.0358;0.0108;42.4903;117;ASCENDING;S2B;;;;;0.3008
